identity,dataVersion,timeStamp,inUseHosts,inUseLicenses,inUseProxiedHosts,runningSteps
ecmaster,v0,20120108110701,0,0,0,5
ecmaster,v0,20120108111203,0,0,0,3
ecmaster,v0,20120108111702,0,0,0,3
ecmaster,v0,20120108112200,0,0,0,4
ecmaster,v0,20120108112814,0,0,0,3
ecmaster,v0,20120108113302,0,0,0,2
ecmaster,v0,20120108113730,0,0,0,2
ecmaster,v0,20120108114218,0,0,0,2
ecmaster,v0,20120108114700,0,0,0,4
ecmaster,v0,20120108115315,0,0,0,3
ecmaster,v0,20120108115701,0,0,0,2
ecmaster,v0,20120108120201,0,0,0,3
ecmaster,v0,20120108120701,0,0,0,3
ecmaster,v0,20120108121200,0,0,0,3
ecmaster,v0,20120108125200,0,0,0,3
ecmaster,v0,20120108125700,0,0,0,3
ecmaster,v0,20120109084803,0,0,0,5
ecmaster,v0,20120109085203,0,0,0,2
ecmaster,v0,20120109085800,0,0,0,2
ecmaster,v0,20120109090203,0,0,0,5
ecmaster,v0,20120109090700,0,0,0,2
ecmaster,v0,20120109091202,0,0,0,2
ecmaster,v0,20120109091700,0,0,0,4
ecmaster,v0,20120109092313,0,0,0,3
ecmaster,v0,20120109092802,0,0,0,2
ecmaster,v0,20120109093228,0,0,0,2
ecmaster,v0,20120109093717,0,0,0,2
ecmaster,v0,20120109094200,0,0,0,4
ecmaster,v0,20120109094700,0,0,0,3
ecmaster,v0,20120109095200,0,0,0,3
ecmaster,v0,20120109095700,0,0,0,3
ecmaster,v0,20120109100200,0,0,0,3
ecmaster,v0,20120109100700,0,0,0,3
ecmaster,v0,20120109101200,0,0,0,3
ecmaster,v0,20120109101700,0,0,0,3
ecmaster,v0,20120109102200,0,0,0,3
ecmaster,v0,20120109102700,0,0,0,3
ecmaster,v0,20120109103200,0,0,0,3
ecmaster,v0,20120109103700,0,0,0,3
ecmaster,v0,20120109104201,0,0,0,3
ecmaster,v0,20120109104700,0,0,0,3
ecmaster,v0,20120109105200,0,0,0,3
ecmaster,v0,20120109105700,0,0,0,3
ecmaster,v0,20120109110200,0,0,0,3
ecmaster,v0,20120109110700,0,0,0,3
ecmaster,v0,20120109111200,0,0,0,3
ecmaster,v0,20120109111700,0,0,0,3
ecmaster,v0,20120109112200,0,0,0,3
ecmaster,v0,20120109112700,0,0,0,3
ecmaster,v0,20120109113200,0,0,0,3
ecmaster,v0,20120109113701,0,0,0,3
ecmaster,v0,20120109114200,0,0,0,3
ecmaster,v0,20120109114700,0,0,0,3
ecmaster,v0,20120109115200,0,0,0,3
ecmaster,v0,20120109115701,0,0,0,3
ecmaster,v0,20120109120200,0,0,0,3
ecmaster,v0,20120109120700,0,0,0,3
ecmaster,v0,20120109124223,0,0,0,1
ecmaster,v0,20120109124700,0,0,0,3
ecmaster,v0,20120109125200,0,0,0,3
ecmaster,v0,20120109125700,0,0,0,3
ecmaster,v0,20120109133200,0,0,0,3
ecmaster,v0,20120109133700,0,0,0,3
ecmaster,v0,20120109134200,0,0,0,3
ecmaster,v0,20120109134700,0,0,0,3
ecmaster,v0,20120109135200,0,0,0,3
ecmaster,v0,20120109135700,0,0,0,3
ecmaster,v0,20120109140200,0,0,0,3
ecmaster,v0,20120109140700,0,0,0,3
ecmaster,v0,20120109141200,0,0,0,3
ecmaster,v0,20120109141700,0,0,0,3
ecmaster,v0,20120109142200,0,0,0,3
ecmaster,v0,20120109142700,0,0,0,3
ecmaster,v0,20120109143200,0,0,0,3
ecmaster,v0,20120109143701,0,0,0,3
ecmaster,v0,20120109144200,0,0,0,3
ecmaster,v0,20120109144700,0,0,0,3
ecmaster,v0,20120109145200,0,0,0,3
ecmaster,v0,20120109145700,0,0,0,3
ecmaster,v0,20120109150200,0,0,0,3
ecmaster,v0,20120109150701,0,0,0,3
ecmaster,v0,20120109151200,0,0,0,3
ecmaster,v0,20120109151700,0,0,0,3
ecmaster,v0,20120109152200,0,0,0,3
ecmaster,v0,20120109152700,0,0,0,3
ecmaster,v0,20120109153200,0,0,0,3
ecmaster,v0,20120109153700,0,0,0,3
ecmaster,v0,20120109154200,0,0,0,3
